TransactionAmount,TransactionTime,TransactionType,MerchantCategory,TransactionLocation,DeviceType,TransactionFrequency,SpendingPattern,CardPresent,PastFraudHistory,Velocity,DistanceFromLast,AmountRatio,AccountAge,IsFraud
43.17,13.0,Online,Others,Domestic,Desktop,18.0,Medium,Yes,0.0,3.0,703.3,0.25,125.0,0
3.38,0.0,Online,Electronics,Local,Mobile,19.0,Low,Yes,0.0,3.0,4858.5,0.02,33.0,0
8.18,6.0,ATM,Luxury,Local,Tablet,18.0,Low,Yes,0.0,2.0,3686.5,0.07,217.0,0
50.57,7.0,Online,Luxury,Local,Mobile,16.0,Low,No,0.0,2.0,4374.7,0.57,197.0,0
14.24,17.0,Online,Others,Local,Mobile,7.0,Low,No,0.0,5.0,4855.8,0.65,92.0,0
83.83,8.0,POS,Groceries,Local,POS_Terminal,17.0,High,No,0.0,4.0,1890.7,1.1,179.0,0
116.95,0.0,POS,Groceries,Domestic,Tablet,3.0,Medium,Yes,0.0,1.0,3439.3,0.59,192.0,0
161.24,21.0,POS,Travel,Local,POS_Terminal,15.0,High,Yes,0.0,4.0,920.1,1.07,82.0,0
22.33,16.0,Online,Clothing,Local,Desktop,4.0,High,Yes,0.0,5.0,2758.3,0.15,122.0,0
18.33,18.0,POS,Clothing,Local,Desktop,16.0,Low,No,0.0,1.0,1049.4,0.12,23.0,0
11.04,5.0,Online,Groceries,International,POS_Terminal,14.0,Low,Yes,0.0,3.0,802.2,0.08,180.0,0
101.18,2.0,Online,Groceries,Local,Mobile,17.0,High,No,0.0,3.0,492.2,0.81,227.0,0
122.58,23.0,POS,Clothing,Local,Tablet,9.0,Medium,Yes,0.0,1.0,2898.7,1.21,82.0,0
3.21,4.0,ATM,Groceries,Local,Desktop,7.0,Medium,No,0.0,3.0,4749.3,0.03,203.0,0
275.22,1.0,Online,Groceries,Local,Mobile,14.0,Low,Yes,0.0,4.0,611.1,1.56,43.0,0
5.34,19.0,POS,Groceries,Local,Mobile,12.0,High,No,0.0,2.0,2511.6,0.06,107.0,0
77.94,3.0,POS,Groceries,Domestic,Mobile,17.0,Medium,No,0.0,4.0,3435.3,0.46,74.0,0
123.46,9.0,Online,Travel,Domestic,Desktop,9.0,High,Yes,0.0,3.0,2479.3,0.72,138.0,0
204.77,9.0,POS,Travel,Local,Mobile,12.0,High,Yes,0.0,2.0,4558.9,1.29,100.0,0
125.21,23.0,POS,Groceries,Local,Desktop,12.0,Medium,No,0.0,4.0,831.5,4.68,201.0,0
161.81,20.0,Online,Groceries,Domestic,Desktop,8.0,Medium,Yes,0.0,3.0,120.8,3.47,106.0,0
41.47,10.0,ATM,Clothing,Local,Tablet,10.0,Low,Yes,0.0,4.0,1915.6,0.54,77.0,0
168.65,15.0,POS,Electronics,Local,Mobile,12.0,Low,Yes,0.0,3.0,2777.4,0.98,215.0,0
8.35,16.0,ATM,Luxury,Local,Desktop,5.0,Medium,Yes,0.0,5.0,1272.5,0.05,129.0,0
225.21,15.0,Online,Travel,Domestic,Mobile,1.0,Low,Yes,1.0,1.0,842.2,8.2,144.0,0
79.32,6.0,POS,Others,Domestic,Mobile,9.0,High,Yes,0.0,3.0,4024.2,1.01,19.0,0
169.99,15.0,Online,Clothing,Local,Mobile,15.0,Medium,Yes,0.0,4.0,942.9,0.98,76.0,0
60.21,2.0,POS,Electronics,Local,Desktop,2.0,High,Yes,0.0,3.0,2213.4,0.93,133.0,0
103.16,15.0,POS,Clothing,Domestic,Mobile,4.0,Low,Yes,0.0,3.0,4772.4,0.53,183.0,0
74.74,7.0,Online,Groceries,Local,Mobile,4.0,High,Yes,0.0,4.0,3063.5,0.69,62.0,0
131.52,11.0,Online,Groceries,Domestic,Mobile,3.0,Medium,No,0.0,4.0,2488.6,0.7,133.0,0
8.52,2.0,POS,Groceries,Local,POS_Terminal,16.0,High,Yes,0.0,2.0,1801.3,0.09,121.0,0
6.23,16.0,ATM,Electronics,International,POS_Terminal,8.0,Low,Yes,0.0,3.0,2601.9,0.08,135.0,0
28.38,20.0,Online,Groceries,Domestic,Mobile,7.0,Medium,Yes,0.0,5.0,,0.33,108.0,0
17.38,17.0,ATM,Groceries,Local,Mobile,12.0,Medium,Yes,0.0,1.0,4112.6,0.1,78.0,0
205.4,10.0,POS,Clothing,Local,POS_Terminal,12.0,Low,No,0.0,3.0,3249.2,2.58,33.0,0
24.75,3.0,ATM,Others,Local,Mobile,4.0,Low,No,0.0,4.0,3951.6,0.18,6.0,0
372.41,15.0,POS,Groceries,Local,Mobile,15.0,High,Yes,0.0,2.0,442.1,3.56,82.0,0
41.08,16.0,POS,Clothing,Domestic,Mobile,6.0,Low,Yes,0.0,3.0,71.9,0.22,134.0,0
20.1,8.0,Online,Groceries,Local,POS_Terminal,3.0,Low,No,0.0,5.0,3672.1,0.41,51.0,0
155.92,5.0,Online,Others,Domestic,Tablet,7.0,Low,No,0.0,4.0,1308.5,1.6,222.0,0
107.5,23.0,Online,Groceries,Local,Mobile,6.0,High,Yes,0.0,5.0,4388.4,2.53,12.0,0
68.95,19.0,POS,Others,Domestic,Mobile,1.0,Medium,No,0.0,5.0,2679.3,0.56,114.0,0
81.05,1.0,POS,Groceries,Local,POS_Terminal,8.0,Low,Yes,0.0,1.0,2392.6,0.88,227.0,0
127.01,8.0,Online,Luxury,Domestic,Desktop,1.0,Low,Yes,0.0,1.0,3864.1,4.1,203.0,0
25.94,20.0,POS,Groceries,Local,Desktop,16.0,High,Yes,0.0,3.0,3705.5,0.15,122.0,0
560.86,5.0,Online,Groceries,Local,Mobile,3.0,Low,Yes,1.0,1.0,3521.4,6.4,132.0,0
368.06,2.0,POS,Groceries,Local,Tablet,2.0,Low,Yes,0.0,3.0,3449.5,3.38,205.0,0
105.08,19.0,ATM,Groceries,Local,Mobile,6.0,Low,Yes,0.0,3.0,2577.0,1.13,1.0,0
22.26,5.0,Online,Luxury,Local,Tablet,8.0,Low,Yes,0.0,4.0,4632.4,0.21,52.0,0
114.01,6.0,Online,Clothing,Local,Mobile,7.0,Medium,No,0.0,4.0,4453.2,4.97,230.0,0
7.49,0.0,ATM,Electronics,International,Mobile,7.0,Medium,Yes,0.0,2.0,1647.0,0.04,53.0,0
3.11,22.0,Online,Others,Local,Desktop,19.0,Medium,Yes,0.0,1.0,4023.5,0.04,93.0,0
29.8,0.0,POS,Electronics,Domestic,Tablet,18.0,Low,Yes,1.0,2.0,4455.5,0.2,14.0,0
62.11,4.0,POS,Others,Local,Mobile,3.0,Low,Yes,0.0,5.0,3091.3,1.96,149.0,0
202.7,5.0,Online,Groceries,Local,Mobile,11.0,Low,Yes,0.0,3.0,2777.9,1.77,105.0,0
129.89,12.0,POS,Others,Domestic,Desktop,11.0,Low,No,0.0,3.0,3359.4,0.71,159.0,0
135.75,1.0,Online,Groceries,Domestic,Desktop,3.0,Low,No,0.0,4.0,815.3,1.48,169.0,0
55.42,14.0,POS,Clothing,Local,Tablet,1.0,Medium,Yes,0.0,5.0,436.7,1.0,185.0,0
42.45,14.0,POS,Electronics,Domestic,Desktop,10.0,Low,Yes,0.0,3.0,4100.8,1.12,135.0,0
46.37,12.0,Online,Clothing,Local,Mobile,2.0,Medium,No,1.0,3.0,2866.6,0.27,61.0,0
439.41,13.0,ATM,Clothing,Domestic,Desktop,17.0,Medium,Yes,0.0,5.0,612.5,6.98,15.0,0
4.09,21.0,Online,Electronics,Local,Mobile,9.0,Low,Yes,0.0,5.0,2081.6,0.02,106.0,0
201.76,6.0,ATM,Others,Local,POS_Terminal,18.0,Low,No,0.0,3.0,1491.2,3.12,9.0,0
86.44,13.0,ATM,Others,Local,Desktop,9.0,Medium,No,0.0,5.0,4377.4,0.81,221.0,0
57.73,23.0,POS,Others,Local,Desktop,11.0,High,Yes,0.0,1.0,2536.1,0.56,60.0,0
129.19,9.0,POS,Others,Local,Mobile,17.0,High,Yes,0.0,5.0,2887.6,4.15,56.0,0
66.68,16.0,Online,Travel,Local,Mobile,14.0,Low,Yes,0.0,2.0,1176.5,0.58,216.0,0
206.69,13.0,ATM,Others,Domestic,Desktop,18.0,Medium,Yes,0.0,2.0,3995.3,1.47,143.0,0
230.96,7.0,Online,Others,Local,Mobile,18.0,Low,Yes,0.0,3.0,4650.5,1.5,85.0,0
54.77,3.0,ATM,Electronics,Local,Tablet,12.0,Medium,Yes,0.0,3.0,3962.5,0.48,105.0,0
32.41,15.0,POS,Travel,Local,Desktop,18.0,High,Yes,0.0,4.0,2464.3,0.19,88.0,0
89.73,23.0,POS,Others,Domestic,Mobile,8.0,Medium,No,1.0,5.0,4175.4,0.58,7.0,0
243.46,12.0,Online,Travel,Domestic,Mobile,8.0,Low,Yes,0.0,2.0,939.8,4.43,24.0,0
23.66,21.0,POS,Electronics,Local,Desktop,8.0,Medium,Yes,0.0,4.0,567.1,0.26,57.0,0
97.54,19.0,POS,Groceries,Local,Mobile,15.0,High,No,0.0,3.0,2191.1,2.14,215.0,0
99.85,17.0,POS,Luxury,Local,Desktop,8.0,Low,Yes,0.0,1.0,907.7,2.27,64.0,0
132.09,13.0,POS,Others,Domestic,Desktop,14.0,Low,Yes,0.0,5.0,1295.8,0.89,25.0,0
14.11,17.0,Online,Electronics,Domestic,Mobile,13.0,Low,No,0.0,4.0,2925.6,0.12,200.0,0
125.82,4.0,ATM,Groceries,Local,Tablet,8.0,Low,No,1.0,1.0,2019.5,0.98,162.0,0
239.73,8.0,ATM,Electronics,Domestic,Desktop,17.0,Low,Yes,0.0,3.0,4329.4,1.58,227.0,0
19.81,2.0,Online,Clothing,Local,POS_Terminal,19.0,Low,Yes,0.0,2.0,1128.1,0.28,54.0,0
27.12,7.0,POS,Electronics,Local,Desktop,6.0,Low,Yes,0.0,4.0,4984.0,0.29,86.0,0
355.42,19.0,Online,Clothing,International,Desktop,17.0,Low,Yes,0.0,4.0,1797.0,2.75,34.0,0
19.96,21.0,POS,Others,Domestic,Mobile,4.0,Medium,No,0.0,3.0,2577.0,0.53,156.0,0
192.68,9.0,POS,Clothing,Domestic,Mobile,7.0,Low,Yes,0.0,3.0,661.7,1.13,1.0,0
67.78,21.0,POS,Electronics,Local,Mobile,17.0,High,Yes,1.0,2.0,2896.5,0.83,108.0,0
28.4,18.0,Online,Others,Local,Desktop,18.0,Low,Yes,0.0,2.0,4806.4,0.2,37.0,0
204.6,20.0,ATM,Clothing,Domestic,Mobile,6.0,Medium,Yes,0.0,2.0,3747.0,1.03,30.0,0
58.93,2.0,Online,Groceries,Domestic,Desktop,10.0,Low,No,0.0,1.0,1220.3,0.56,114.0,0
72.32,10.0,Online,Electronics,Local,Mobile,18.0,Low,Yes,0.0,1.0,2213.1,1.23,153.0,0
44.51,10.0,POS,Clothing,Local,Desktop,7.0,Medium,Yes,0.0,3.0,2127.2,0.75,188.0,0
89.88,16.0,Online,Luxury,Domestic,Desktop,14.0,Medium,No,0.0,4.0,489.7,2.91,130.0,0
17.86,15.0,Online,Others,International,Desktop,14.0,Medium,Yes,0.0,1.0,4429.3,0.11,156.0,0
49.61,6.0,POS,Electronics,Domestic,POS_Terminal,10.0,Medium,No,0.0,3.0,1907.3,0.68,48.0,0
348.72,3.0,POS,Groceries,Domestic,Tablet,9.0,Medium,No,0.0,1.0,2471.3,6.83,156.0,0
29.86,22.0,ATM,Groceries,Local,Mobile,10.0,Low,No,0.0,2.0,1456.2,0.2,215.0,0
106.93,18.0,Online,Travel,Domestic,Desktop,2.0,Medium,Yes,0.0,3.0,762.0,1.41,102.0,0
39.33,11.0,ATM,Travel,Domestic,Desktop,3.0,Low,Yes,0.0,2.0,4510.6,0.31,24.0,0
148.49,14.0,Online,Electronics,Local,Tablet,16.0,Low,Yes,0.0,5.0,187.0,1.56,227.0,0
14.03,10.0,ATM,Electronics,Domestic,Tablet,10.0,Low,Yes,0.0,4.0,1999.4,0.18,200.0,0
350.06,4.0,POS,Others,International,Mobile,11.0,Low,No,0.0,2.0,3653.5,3.24,228.0,0
60.48,4.0,POS,Others,Local,Tablet,10.0,Low,Yes,0.0,4.0,1544.3,0.79,146.0,0
26.93,14.0,POS,Groceries,Domestic,Mobile,12.0,Low,Yes,0.0,3.0,2230.1,0.15,20.0,0
7.63,17.0,POS,Travel,Domestic,Tablet,14.0,Medium,Yes,0.0,5.0,2822.4,0.23,68.0,0
18.6,10.0,Online,Clothing,Local,Mobile,9.0,Low,Yes,0.0,4.0,4975.4,0.73,8.0,0
73.35,11.0,Online,Groceries,Domestic,Mobile,13.0,High,Yes,0.0,1.0,3791.5,0.79,90.0,0
41.1,1.0,Online,Electronics,Local,Tablet,6.0,Low,No,0.0,3.0,4835.6,0.8,56.0,0
176.54,19.0,POS,Groceries,Domestic,Desktop,11.0,Low,Yes,0.0,5.0,3465.7,1.15,61.0,0
56.37,14.0,ATM,Groceries,Local,POS_Terminal,1.0,Medium,Yes,0.0,1.0,1345.3,0.67,39.0,0
28.6,19.0,POS,Clothing,Domestic,Mobile,15.0,High,No,0.0,1.0,1437.4,0.43,212.0,0
96.01,3.0,POS,Electronics,Local,Desktop,7.0,Medium,Yes,0.0,5.0,4112.3,1.13,18.0,0
122.68,21.0,Online,Electronics,Local,Tablet,11.0,Medium,No,0.0,2.0,2138.6,2.06,97.0,0
18.28,17.0,Online,Clothing,Local,Mobile,17.0,High,No,0.0,5.0,1851.1,0.25,59.0,0
18.35,5.0,POS,Groceries,Local,Mobile,5.0,Medium,No,0.0,5.0,4725.5,0.15,146.0,0
3.74,22.0,POS,Travel,Local,Mobile,9.0,Medium,Yes,0.0,5.0,66.2,0.02,98.0,0
133.33,18.0,Online,Electronics,Local,POS_Terminal,16.0,High,Yes,0.0,4.0,2624.8,1.54,211.0,0
109.01,10.0,POS,Electronics,Domestic,Tablet,11.0,Low,Yes,0.0,2.0,3875.4,1.4,42.0,0
64.37,23.0,POS,Others,Domestic,Mobile,17.0,High,No,0.0,3.0,3680.8,0.4,53.0,0
185.9,1.0,Online,Electronics,International,Mobile,6.0,Low,Yes,0.0,1.0,1837.9,7.73,33.0,0
163.82,7.0,POS,Clothing,Domestic,Mobile,15.0,High,Yes,0.0,4.0,2678.2,2.2,21.0,0
88.03,10.0,POS,Electronics,Domestic,Desktop,3.0,Low,Yes,0.0,2.0,27.9,0.87,199.0,0
202.7,4.0,POS,Others,Local,POS_Terminal,9.0,Low,Yes,0.0,5.0,2674.2,1.58,188.0,0
23.05,17.0,ATM,Luxury,Domestic,Desktop,12.0,High,No,0.0,4.0,2952.0,0.48,142.0,0
11.87,22.0,ATM,Groceries,Domestic,Mobile,19.0,Low,Yes,0.0,4.0,4374.0,0.12,33.0,0
31.44,17.0,POS,Clothing,Local,Desktop,18.0,Medium,No,0.0,1.0,1053.7,0.26,132.0,0
5.88,13.0,POS,Groceries,Domestic,POS_Terminal,16.0,Low,Yes,0.0,3.0,4125.7,0.05,171.0,0
75.75,21.0,POS,Others,Local,Desktop,8.0,Low,Yes,0.0,2.0,3590.3,0.61,130.0,0
275.84,9.0,POS,Electronics,International,POS_Terminal,19.0,High,Yes,0.0,2.0,3330.2,1.98,40.0,0
4.01,2.0,Online,Luxury,Domestic,Mobile,5.0,Low,Yes,0.0,2.0,1971.9,0.05,50.0,0
13.02,8.0,Online,Electronics,International,Tablet,12.0,Medium,No,0.0,5.0,1837.2,0.41,223.0,0
60.18,2.0,POS,Clothing,Local,Desktop,6.0,Low,Yes,0.0,5.0,3516.3,2.01,63.0,0
271.62,10.0,POS,Others,Local,Desktop,12.0,High,Yes,0.0,4.0,4951.1,1.56,177.0,0
38.0,11.0,POS,Others,International,Desktop,15.0,Medium,Yes,0.0,3.0,2026.8,0.27,110.0,0
70.77,11.0,POS,Groceries,Local,Mobile,10.0,Medium,Yes,0.0,1.0,4593.0,0.45,94.0,0
4.25,2.0,POS,Clothing,Local,Mobile,17.0,High,Yes,0.0,1.0,2932.7,0.02,64.0,0
16.06,20.0,Online,Electronics,Domestic,POS_Terminal,7.0,Low,Yes,0.0,3.0,4340.8,0.1,178.0,0
431.48,6.0,Online,Electronics,Domestic,Mobile,7.0,Medium,Yes,0.0,2.0,1086.0,2.98,138.0,0
335.58,13.0,Online,Electronics,Local,POS_Terminal,11.0,Medium,Yes,0.0,3.0,3811.2,2.43,85.0,0
0.5,23.0,POS,Electronics,Local,Desktop,2.0,Low,No,0.0,1.0,4174.7,0.01,114.0,0
303.26,10.0,Online,Clothing,Local,Desktop,2.0,Medium,Yes,0.0,5.0,4160.8,1.58,116.0,0
101.92,6.0,POS,Groceries,Local,POS_Terminal,14.0,Medium,Yes,0.0,3.0,3923.6,0.87,151.0,0
202.43,20.0,POS,Clothing,Local,Tablet,18.0,Medium,Yes,0.0,4.0,1521.0,3.38,37.0,0
60.65,9.0,Online,Groceries,Domestic,Desktop,16.0,Low,No,1.0,5.0,2609.8,1.05,72.0,0
72.48,10.0,POS,Groceries,Domestic,Mobile,11.0,Low,Yes,0.0,4.0,1498.5,0.43,138.0,0
67.11,14.0,Online,Travel,Domestic,Tablet,9.0,Low,Yes,0.0,4.0,1714.8,1.03,153.0,0
109.92,18.0,Online,Groceries,Local,Tablet,7.0,Low,Yes,0.0,3.0,1506.1,4.0,33.0,0
15.04,15.0,ATM,Electronics,Domestic,Tablet,4.0,Low,Yes,0.0,4.0,1421.1,0.15,17.0,0
3.04,21.0,ATM,Electronics,International,Tablet,16.0,Medium,Yes,0.0,2.0,3467.1,0.02,115.0,0
36.81,20.0,POS,Electronics,Domestic,Mobile,14.0,Low,No,0.0,3.0,3251.3,0.39,24.0,0
121.97,19.0,ATM,Clothing,Local,Tablet,11.0,High,Yes,0.0,1.0,1021.3,0.74,177.0,0
22.55,11.0,Online,Electronics,International,Mobile,8.0,Medium,No,0.0,2.0,3457.6,0.13,234.0,0
111.91,17.0,Online,Groceries,Local,Mobile,11.0,Low,No,0.0,5.0,1455.3,0.64,30.0,0
350.36,22.0,POS,Others,Domestic,Mobile,17.0,Low,Yes,0.0,3.0,1008.6,2.78,65.0,0
9.86,12.0,ATM,Others,Local,Mobile,19.0,Medium,No,0.0,1.0,3736.3,0.07,126.0,0
111.66,4.0,POS,Groceries,Domestic,Desktop,10.0,High,Yes,0.0,1.0,1814.3,1.66,81.0,0
58.65,3.0,Online,Clothing,International,Mobile,12.0,Medium,Yes,0.0,3.0,2846.8,1.55,28.0,0
202.6,13.0,POS,Electronics,Local,Mobile,1.0,Medium,Yes,0.0,2.0,1000.6,1.75,13.0,0
19.5,7.0,Online,Groceries,Local,Mobile,2.0,Low,Yes,0.0,1.0,3068.5,0.89,185.0,0
117.97,8.0,POS,Electronics,Local,Desktop,18.0,Low,Yes,0.0,3.0,1040.0,1.14,188.0,0
182.09,18.0,POS,Clothing,Local,Desktop,7.0,Medium,Yes,0.0,3.0,834.4,4.74,138.0,0
289.34,2.0,POS,Groceries,Local,Desktop,16.0,Low,Yes,0.0,4.0,1932.6,7.32,193.0,0
114.96,4.0,POS,Others,Domestic,Tablet,13.0,Low,Yes,0.0,3.0,3950.3,0.65,84.0,0
68.75,20.0,POS,Electronics,Local,Desktop,4.0,Low,Yes,0.0,1.0,882.7,0.51,135.0,0
96.19,17.0,POS,Electronics,Local,Mobile,10.0,Medium,Yes,0.0,4.0,585.1,0.71,188.0,0
203.18,0.0,Online,Travel,Local,POS_Terminal,9.0,Medium,No,0.0,1.0,158.2,2.19,63.0,0
84.54,7.0,Online,Groceries,Local,Mobile,18.0,Medium,Yes,0.0,2.0,2079.8,0.9,224.0,0
3.09,18.0,Online,Electronics,Domestic,Mobile,9.0,Low,No,0.0,2.0,1410.1,0.04,213.0,0
267.29,16.0,POS,Electronics,Domestic,Desktop,10.0,Medium,No,0.0,1.0,1460.5,2.72,26.0,0
116.97,16.0,POS,Electronics,Domestic,Tablet,8.0,High,Yes,0.0,5.0,4909.7,0.93,237.0,0
112.86,10.0,POS,Electronics,Local,Tablet,11.0,Medium,No,0.0,5.0,970.6,2.11,117.0,0
24.29,1.0,ATM,Groceries,Local,Mobile,13.0,Medium,Yes,0.0,5.0,2292.1,0.36,199.0,0
107.55,5.0,ATM,Groceries,Local,Tablet,13.0,Low,Yes,0.0,1.0,4931.8,0.99,38.0,0
50.07,21.0,POS,Groceries,Local,Tablet,16.0,Medium,Yes,0.0,3.0,153.1,0.56,54.0,0
105.34,13.0,POS,Others,Local,Mobile,13.0,Low,Yes,0.0,4.0,3483.3,0.63,45.0,0
11.27,2.0,ATM,Groceries,Domestic,Mobile,12.0,Low,No,0.0,3.0,1855.4,0.07,232.0,0
107.25,11.0,ATM,Groceries,Local,Tablet,15.0,Low,No,0.0,1.0,4530.5,1.33,112.0,0
744.17,3.0,ATM,Others,Local,Mobile,16.0,Low,Yes,0.0,3.0,4559.7,7.36,186.0,0
4.94,11.0,Online,Clothing,Domestic,Mobile,8.0,Medium,Yes,0.0,2.0,1936.1,0.03,169.0,0
377.99,12.0,POS,Electronics,Domestic,Mobile,6.0,High,Yes,0.0,4.0,1107.3,2.24,173.0,0
52.24,1.0,POS,Groceries,Local,Mobile,8.0,Medium,Yes,0.0,1.0,2140.0,0.89,219.0,0
204.6,1.0,POS,Clothing,Domestic,Mobile,2.0,Low,Yes,0.0,4.0,4826.5,2.9,162.0,0
152.5,14.0,POS,Groceries,International,Mobile,18.0,Medium,Yes,0.0,5.0,1407.0,4.35,76.0,0
83.71,22.0,POS,Clothing,Local,Mobile,11.0,Medium,No,0.0,5.0,4906.6,0.59,204.0,0
134.11,16.0,Online,Others,Local,POS_Terminal,17.0,Medium,No,0.0,2.0,4097.0,1.74,58.0,0
210.8,6.0,POS,Clothing,Local,Mobile,10.0,Low,No,0.0,1.0,1337.3,1.81,79.0,0
51.78,13.0,POS,Groceries,Domestic,Desktop,2.0,Low,Yes,0.0,5.0,3955.3,0.33,212.0,0
39.61,11.0,POS,Clothing,Local,POS_Terminal,19.0,Medium,Yes,0.0,4.0,249.0,0.23,138.0,0
110.14,16.0,POS,Clothing,International,Tablet,2.0,Medium,Yes,0.0,4.0,2740.3,1.4,238.0,0
164.95,13.0,POS,Clothing,Domestic,Mobile,6.0,High,Yes,0.0,2.0,1786.7,2.63,126.0,0
143.67,5.0,Online,Electronics,Local,Mobile,17.0,Low,Yes,0.0,5.0,2134.7,0.83,90.0,0
159.86,18.0,Online,Clothing,Local,Desktop,12.0,Medium,Yes,0.0,3.0,2364.3,1.8,145.0,0
57.2,23.0,POS,Clothing,Local,POS_Terminal,5.0,Low,No,0.0,5.0,2513.6,0.34,202.0,0
170.28,5.0,Online,Others,Local,Mobile,2.0,Low,No,0.0,2.0,3282.1,3.63,61.0,0
12.81,17.0,POS,Luxury,International,Mobile,9.0,Medium,Yes,0.0,5.0,3483.9,0.07,120.0,0
78.63,23.0,Online,Groceries,Local,Tablet,2.0,High,No,0.0,1.0,4878.5,0.74,11.0,0
0.58,4.0,POS,Travel,Local,Desktop,14.0,Medium,No,0.0,2.0,3813.9,0.01,145.0,0
39.24,23.0,POS,Groceries,Local,Tablet,15.0,Low,Yes,0.0,3.0,3439.0,0.34,203.0,0
45.64,23.0,ATM,Travel,Local,Desktop,2.0,Low,Yes,0.0,4.0,1962.3,0.26,15.0,0
50.45,5.0,POS,Groceries,Local,Mobile,18.0,Low,Yes,0.0,5.0,589.0,0.56,4.0,0
118.9,1.0,POS,Electronics,Local,Desktop,12.0,Low,Yes,0.0,4.0,293.9,2.28,89.0,0
49.19,7.0,POS,Travel,Domestic,Desktop,7.0,Medium,Yes,0.0,2.0,2388.4,0.4,228.0,0
59.55,14.0,POS,Groceries,Local,Tablet,16.0,Medium,Yes,0.0,4.0,3341.3,0.35,181.0,0
27.12,14.0,POS,Luxury,Local,Tablet,19.0,Medium,No,0.0,1.0,3250.8,0.65,175.0,0
46.72,10.0,ATM,Clothing,Domestic,Tablet,3.0,Medium,No,1.0,2.0,4764.3,1.7,223.0,0
25.78,21.0,Online,Electronics,Local,Mobile,15.0,Medium,Yes,0.0,2.0,1912.1,0.86,46.0,0
7.6,21.0,Online,Electronics,Local,Desktop,15.0,Medium,Yes,0.0,5.0,3138.9,0.12,157.0,0
92.49,23.0,POS,Others,Local,Desktop,7.0,Low,Yes,0.0,2.0,4439.4,4.34,31.0,0
110.33,0.0,POS,Groceries,Local,Desktop,8.0,Low,Yes,0.0,1.0,2020.4,1.14,73.0,0
96.62,17.0,POS,Clothing,International,Mobile,7.0,Low,Yes,0.0,5.0,2388.7,0.66,48.0,0
62.27,11.0,POS,Travel,Local,Tablet,3.0,High,No,0.0,1.0,4614.9,0.42,184.0,0
47.77,11.0,Online,Others,Domestic,Desktop,19.0,High,Yes,0.0,3.0,2751.2,0.35,193.0,0
199.02,10.0,POS,Travel,Local,Desktop,19.0,Medium,Yes,1.0,5.0,3998.0,2.71,131.0,0
73.21,7.0,ATM,Clothing,Local,Tablet,18.0,Medium,Yes,0.0,2.0,4678.1,0.48,4.0,0
65.24,6.0,POS,Others,Domestic,Mobile,7.0,Medium,No,0.0,2.0,2855.3,0.53,19.0,0
2.6,22.0,POS,Luxury,Local,Mobile,19.0,Low,No,0.0,2.0,545.9,0.01,169.0,0
41.74,20.0,POS,Travel,Domestic,Desktop,5.0,Low,Yes,0.0,3.0,4108.5,0.39,150.0,0
47.84,1.0,POS,Groceries,Local,POS_Terminal,13.0,Low,Yes,0.0,1.0,4088.9,0.91,115.0,0
50.89,10.0,POS,Electronics,Local,Mobile,2.0,High,Yes,0.0,2.0,574.9,0.38,200.0,0
86.79,21.0,POS,Clothing,Domestic,Mobile,18.0,Low,No,0.0,4.0,2740.6,1.84,25.0,0
76.27,9.0,POS,Clothing,Local,POS_Terminal,4.0,Medium,Yes,0.0,2.0,2435.4,0.39,132.0,0
93.63,2.0,Online,Electronics,Domestic,Tablet,4.0,High,No,1.0,5.0,4235.8,0.64,237.0,0
144.77,19.0,Online,Groceries,Local,Tablet,8.0,Low,Yes,0.0,5.0,1373.1,0.93,53.0,0
167.66,9.0,POS,Clothing,Domestic,Mobile,11.0,Medium,No,0.0,4.0,2131.4,1.18,179.0,0
126.63,17.0,POS,Groceries,Local,Tablet,1.0,High,Yes,0.0,3.0,3024.0,3.37,206.0,0
311.28,13.0,Online,Groceries,Domestic,Desktop,9.0,Medium,No,0.0,5.0,2586.2,3.0,5.0,0
1.84,17.0,ATM,Electronics,International,Desktop,6.0,Medium,Yes,0.0,3.0,4775.2,0.01,50.0,0
21.79,23.0,Online,Travel,Local,Mobile,4.0,Low,Yes,0.0,3.0,4803.3,0.36,178.0,0
0.76,7.0,POS,Electronics,Local,Tablet,6.0,Medium,No,0.0,4.0,407.9,0.01,59.0,0
104.26,9.0,Online,Groceries,Domestic,Mobile,13.0,Low,Yes,0.0,5.0,1489.2,0.62,93.0,0
,21.0,Online,Groceries,Local,Mobile,9.0,Low,No,0.0,2.0,37.7,3.29,149.0,0
27.9,12.0,POS,Electronics,Domestic,Desktop,14.0,Medium,Yes,0.0,3.0,2089.3,0.5,79.0,0
261.78,20.0,ATM,Travel,International,Mobile,12.0,Low,No,0.0,3.0,3310.7,1.46,151.0,0
6.22,7.0,POS,Clothing,Domestic,Mobile,4.0,High,Yes,0.0,5.0,2356.4,0.3,81.0,0
272.47,3.0,ATM,Groceries,Local,Mobile,8.0,Low,Yes,0.0,5.0,335.9,4.13,131.0,0
43.33,3.0,Online,Electronics,Local,Tablet,17.0,Medium,No,0.0,4.0,979.8,0.46,225.0,0
10.69,4.0,Online,Others,Local,Mobile,5.0,Low,Yes,0.0,1.0,866.5,0.08,50.0,0
66.53,0.0,Online,Groceries,Local,Tablet,3.0,High,No,0.0,1.0,2555.6,0.33,54.0,0
29.68,16.0,POS,Clothing,Local,Desktop,4.0,Low,No,0.0,1.0,3388.4,0.34,91.0,0
